date,ticker,mom_12m,reversal_1m,mom_12_1,vol_6m,mom_3m,next_month_return,median_return,target
2016-01-31,RELIANCE.NS,0.14552882025638203,0.020500728522569567,0.12251641595084584,0.08661894275579642,0.09253987265627561,-0.06639951575496661,-0.07377958551338631,1
2016-01-31,TCS.NS,-0.021031938387008564,-0.016319621588417377,-0.004790495878549961,0.05532132512807327,-0.03932268275298956,-0.08969989621419616,-0.07377958551338631,0
2016-01-31,HDFCBANK.NS,-0.01820111453180495,-0.02984791935647102,0.012005133068354157,0.04833398524523961,-0.04524368230229758,-0.07429633309633421,-0.07377958551338631,0
2016-01-31,INFY.NS,0.1143740785734293,0.05382645375657846,0.057455024592537596,0.07679621657983154,0.025937035137250763,-0.0694048114645428,-0.07377958551338631,1
2016-01-31,ICICIBANK.NS,-0.3509624206253382,-0.119380076232943,-0.2629764988756418,0.0905013730438391,-0.16913349789833765,-0.17423417140487463,-0.07377958551338631,0
2016-01-31,HINDUNILVR.NS,-0.10738757000880117,-0.053143999290779065,-0.05728808887242842,0.05910278073768598,0.020295900520416188,0.016526027905479967,-0.07377958551338631,1
2016-01-31,BHARTIARTL.NS,-0.2199004115577079,-0.14835486066543646,-0.08400864114386164,0.07721968358663107,-0.16946000891023705,0.08830653286036982,-0.07377958551338631,1
2016-01-31,ITC.NS,-0.1131246715381321,-0.02318486331021319,-0.0920745439436016,0.0701775325186031,-0.04317938568910862,-0.0766706798810387,-0.07377958551338631,0
2016-01-31,LT.NS,-0.34554537668020857,-0.1362657313643063,-0.24229633223476088,0.07487725336727652,-0.21910333454602426,-0.02328312505872132,-0.07377958551338631,1
2016-01-31,KOTAKBANK.NS,0.034753137140556944,-0.05062148133849642,0.08992684877620793,0.07556562773949885,-0.005889537338538808,-0.07782334618382603,-0.07377958551338631,0
2016-01-31,AXISBANK.NS,-0.2999760595139256,-0.09062578603475813,-0.23021355814160926,0.10087072975265825,-0.14093408328399448,-0.07994602203089585,-0.07377958551338631,0
